"deque([0, 0, 0, 0, 0, 0, 0, 0, 0, -0.489013671875], maxlen=10)","deque([0, 0, 0, 0, 0, 0, 0, 0, 0, -1.032958984375], maxlen=10)","deque([0, 0, 0, 0, 0, 0, 0, 0, 0, 0.56201171875], maxlen=10)","deque([0, 0, 0, 0, 0, 0, 0, 0, 0, -7.824427480916031], maxlen=10)","deque([0, 0, 0, 0, 0, 0, 0, 0, 0, -2.1374045801526718], maxlen=10)","deque([0, 0, 0, 0, 0, 0, 0, 0, 0, -2.2061068702290076], maxlen=10)","deque([0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9609375], maxlen=10)","deque([0, 0, 0, 0, 0, 0, 0, 0, 0, 0.184814453125], maxlen=10)","deque([0, 0, 0, 0, 0, 0, 0, 0, 0, 0.01611328125], maxlen=10)","deque([0, 0, 0, 0, 0, 0, 0, 0, 0, -0.3435114503816794], maxlen=10)","deque([0, 0, 0, 0, 0, 0, 0, 0, 0, 0.10687022900763359], maxlen=10)","deque([0, 0, 0, 0, 0, 0, 0, 0, 0, -0.3511450381679389], maxlen=10)",2
"deque([0, 0, 0, -0.489013671875, -0.671142578125, -0.7763671875, -0.781494140625, -0.59619140625, -0.451171875, -0.460693359375], maxlen=10)","deque([0, 0, 0, -1.032958984375, -1.164794921875, -1.462646484375, -1.47314453125, -1.498291015625, -1.3359375, -0.982666015625], maxlen=10)","deque([0, 0, 0, 0.56201171875, 0.61474609375, 0.658935546875, 0.56396484375, 0.41357421875, 0.24853515625, 0.371826171875], maxlen=10)","deque([0, 0, 0, -7.824427480916031, -6.8396946564885495, -7.404580152671755, -9.870229007633588, -9.366412213740459, -8.549618320610687, -11.0], maxlen=10)","deque([0, 0, 0, -2.1374045801526718, -4.122137404580153, -6.877862595419847, -9.061068702290076, -10.82442748091603, -7.343511450381679, -2.404580152671756], maxlen=10)","deque([0, 0, 0, -2.2061068702290076, -6.549618320610687, -12.412213740458014, -18.603053435114504, -24.19083969465649, -29.12213740458015, -33.57251908396947], maxlen=10)","deque([0, 0, 0, 0.9609375, 0.95654296875, 0.966796875, 0.920654296875, 0.97265625, 0.96142578125, 0.95263671875], maxlen=10)","deque([0, 0, 0, 0.184814453125, 0.188232421875, 0.16943359375, 0.18505859375, 0.14892578125, 0.197998046875, 0.22412109375], maxlen=10)","deque([0, 0, 0, 0.01611328125, 0.01416015625, 0.001220703125, 0.00927734375, 0.0068359375, 0.011474609375, 0.0009765625], maxlen=10)","deque([0, 0, 0, -0.3435114503816794, -0.25190839694656486, -0.3053435114503817, 0.07633587786259542, 0.09923664122137404, 0.09923664122137404, -0.6564885496183206], maxlen=10)","deque([0, 0, 0, 0.10687022900763359, 0.07633587786259542, 0.16793893129770993, 0.17557251908396945, 0.10687022900763359, 0.16793893129770993, 0.16793893129770993], maxlen=10)","deque([0, 0, 0, -0.3511450381679389, -0.3893129770992366, -0.5725190839694656, -1.0534351145038168, -1.3282442748091603, -1.3206106870229009, -1.015267175572519], maxlen=10)",2
"deque([-0.781494140625, -0.59619140625, -0.451171875, -0.460693359375, -0.290283203125, -0.007080078125, 0.18603515625, 0.57373046875, 0.91455078125, 1.264404296875], maxlen=10)","deque([-1.47314453125, -1.498291015625, -1.3359375, -0.982666015625, -0.672607421875, -0.303466796875, -0.1611328125, 0.134765625, 0.250244140625, 0.427978515625], maxlen=10)","deque([0.56396484375, 0.41357421875, 0.24853515625, 0.371826171875, 0.31396484375, 0.046875, 0.013671875, 0.009765625, 0.043701171875, -0.028564453125], maxlen=10)","deque([-9.870229007633588, -9.366412213740459, -8.549618320610687, -11.0, -6.061068702290076, -3.877862595419847, 1.5954198473282444, 3.16793893129771, 2.7480916030534353, 5.366412213740458], maxlen=10)","deque([-9.061068702290076, -10.82442748091603, -7.343511450381679, -2.404580152671756, -2.7251908396946565, -3.0839694656488548, -4.1603053435114505, -5.938931297709924, -7.419847328244275, -9.259541984732824], maxlen=10)","deque([-18.603053435114504, -24.19083969465649, -29.12213740458015, -33.57251908396947, -36.37404580152672, -35.52671755725191, -32.221374045801525, -25.954198473282442, -17.38167938931298, -9.648854961832061], maxlen=10)","deque([0.920654296875, 0.97265625, 0.96142578125, 0.95263671875, 0.96484375, 0.9599609375, 0.93896484375, 0.954833984375, 0.957763671875, 0.9658203125], maxlen=10)","deque([0.18505859375, 0.14892578125, 0.197998046875, 0.22412109375, 0.1953125, 0.215576171875, 0.2197265625, 0.21728515625, 0.204833984375, 0.195556640625], maxlen=10)","deque([0.00927734375, 0.0068359375, 0.011474609375, 0.0009765625, 0.016357421875, 0.013671875, 0.01611328125, 0.006103515625, 0.015869140625, 0.015380859375], maxlen=10)","deque([0.07633587786259542, 0.09923664122137404, 0.09923664122137404, -0.6564885496183206, -0.5267175572519084, -0.183206106870229, 0.0, -0.007633587786259542, -0.08396946564885496, -0.21374045801526717], maxlen=10)","deque([0.17557251908396945, 0.10687022900763359, 0.16793893129770993, 0.16793893129770993, 0.13740458015267176, 0.11450381679389313, 0.08396946564885496, 0.030534351145038167, 0.07633587786259542, 0.19083969465648856], maxlen=10)","deque([-1.0534351145038168, -1.3282442748091603, -1.3206106870229009, -1.015267175572519, -0.8244274809160306, -0.5648854961832062, -0.26717557251908397, 0.03816793893129771, 0.19083969465648856, 0.183206106870229], maxlen=10)",2
"deque([0.18603515625, 0.57373046875, 0.91455078125, 1.264404296875, 1.43408203125, 1.243408203125, 1.04248046875, 0.86865234375, 0.619873046875, 0.359130859375], maxlen=10)","deque([-0.1611328125, 0.134765625, 0.250244140625, 0.427978515625, 0.490478515625, 0.212890625, 0.079833984375, -0.017578125, -0.09423828125, -0.027099609375], maxlen=10)","deque([0.013671875, 0.009765625, 0.043701171875, -0.028564453125, -0.11572265625, -0.153564453125, -0.181640625, -0.167236328125, -0.1279296875, -0.072998046875], maxlen=10)","deque([1.5954198473282444, 3.16793893129771, 2.7480916030534353, 5.366412213740458, 6.717557251908397, 6.8396946564885495, 6.343511450381679, 6.297709923664122, 6.305343511450381, 4.465648854961832], maxlen=10)","deque([-4.1603053435114505, -5.938931297709924, -7.419847328244275, -9.259541984732824, -8.13740458015267, -4.6183206106870225, -0.4198473282442748, 3.763358778625954, 7.656488549618321, 12.473282442748092], maxlen=10)","deque([-32.221374045801525, -25.954198473282442, -17.38167938931298, -9.648854961832061, 1.1984732824427482, 9.145038167938932, 15.297709923664122, 21.106870229007633, 26.6793893129771, 32.61832061068702], maxlen=10)","deque([0.93896484375, 0.954833984375, 0.957763671875, 0.9658203125, 0.963134765625, 0.962890625, 0.959228515625, 0.958740234375, 0.958984375, 0.956787109375], maxlen=10)","deque([0.2197265625, 0.21728515625, 0.204833984375, 0.195556640625, 0.198486328125, 0.188720703125, 0.2001953125, 0.196533203125, 0.200927734375, 0.206298828125], maxlen=10)","deque([0.01611328125, 0.006103515625, 0.015869140625, 0.015380859375, 0.011962890625, 0.015625, 0.0283203125, 0.02978515625, 0.0205078125, 0.020263671875], maxlen=10)","deque([0.0, -0.007633587786259542, -0.08396946564885496, -0.21374045801526717, -0.33587786259541985, -0.4122137404580153, -0.37404580152671757, -0.32061068702290074, -0.26717557251908397, -0.35877862595419846], maxlen=10)","deque([0.08396946564885496, 0.030534351145038167, 0.07633587786259542, 0.19083969465648856, 0.29770992366412213, 0.3816793893129771, 0.37404580152671757, 0.26717557251908397, 0.0, -0.17557251908396945], maxlen=10)","deque([-0.26717557251908397, 0.03816793893129771, 0.19083969465648856, 0.183206106870229, 0.022900763358778626, -0.13740458015267176, -0.2748091603053435, -0.3969465648854962, -0.4961832061068702, -0.37404580152671757], maxlen=10)",2
"deque([1.04248046875, 0.86865234375, 0.619873046875, 0.359130859375, -0.098388671875, -0.73583984375, -0.968505859375, -1.5869140625, -0.205078125, -0.672119140625], maxlen=10)","deque([0.079833984375, -0.017578125, -0.09423828125, -0.027099609375, -0.03173828125, -0.576416015625, -0.650634765625, 2.0, -0.037109375, -1.387939453125], maxlen=10)","deque([-0.181640625, -0.167236328125, -0.1279296875, -0.072998046875, 0.101318359375, 0.63818359375, 0.624267578125, 1.99993896484375, 0.05029296875, 0.823974609375], maxlen=10)","deque([6.343511450381679, 6.297709923664122, 6.305343511450381, 4.465648854961832, 5.5038167938931295, 15.366412213740459, 13.488549618320612, 21.213740458015266, -7.3893129770992365, -4.557251908396947], maxlen=10)","deque([-0.4198473282442748, 3.763358778625954, 7.656488549618321, 12.473282442748092, 13.931297709923664, 8.50381679389313, 13.526717557251908, 3.5267175572519083, 4.3893129770992365, -0.44274809160305345], maxlen=10)","deque([15.297709923664122, 21.106870229007633, 26.6793893129771, 32.61832061068702, 38.38167938931298, 37.83969465648855, 33.50381679389313, 18.954198473282442, 1.0610687022900764, -6.595419847328245], maxlen=10)","deque([0.959228515625, 0.958740234375, 0.958984375, 0.956787109375, 0.95361328125, 0.9560546875, 0.941650390625, 0.860595703125, 0.816650390625, 0.953857421875], maxlen=10)","deque([0.2001953125, 0.196533203125, 0.200927734375, 0.206298828125, 0.20654296875, 0.211669921875, 0.218505859375, 0.22607421875, 0.360107421875, 0.17041015625], maxlen=10)","deque([0.0283203125, 0.02978515625, 0.0205078125, 0.020263671875, 0.011474609375, 0.029296875, 0.010986328125, 0.109130859375, 0.123291015625, 0.030029296875], maxlen=10)","deque([-0.37404580152671757, -0.32061068702290074, -0.26717557251908397, -0.35877862595419846, -0.48091603053435117, -0.3816793893129771, -0.29770992366412213, -1.534351145038168, 0.4122137404580153, -1.0], maxlen=10)","deque([0.37404580152671757, 0.26717557251908397, 0.0, -0.17557251908396945, -0.1984732824427481, -0.11450381679389313, -0.0916030534351145, 0.15267175572519084, 0.2366412213740458, -0.3053435114503817], maxlen=10)","deque([-0.2748091603053435, -0.3969465648854962, -0.4961832061068702, -0.37404580152671757, -0.183206106870229, -1.9541984732824427, 0.04580152671755725, -0.2366412213740458, -0.3053435114503817, 0.46564885496183206], maxlen=10)",2
"deque([-0.968505859375, -1.5869140625, -0.205078125, -0.672119140625, -0.79833984375, -0.732421875, -0.7255859375, -0.454345703125, -0.469482421875, -0.395263671875], maxlen=10)","deque([-0.650634765625, 2.0, -0.037109375, -1.387939453125, -1.116943359375, -1.134765625, -1.388916015625, -1.277587890625, -1.248046875, -1.02001953125], maxlen=10)","deque([0.624267578125, 1.99993896484375, 0.05029296875, 0.823974609375, 0.91552734375, 0.75, 0.669189453125, 0.661865234375, 0.6669921875, 0.52392578125], maxlen=10)","deque([13.488549618320612, 21.213740458015266, -7.3893129770992365, -4.557251908396947, -7.786259541984733, -8.19083969465649, -1.8625954198473282, -1.816793893129771, -8.374045801526718, -14.80916030534351], maxlen=10)","deque([13.526717557251908, 3.5267175572519083, 4.3893129770992365, -0.44274809160305345, -4.2748091603053435, -7.419847328244275, -12.572519083969466, -14.84732824427481, -13.488549618320612, -10.931297709923664], maxlen=10)","deque([33.50381679389313, 18.954198473282442, 1.0610687022900764, -6.595419847328245, -10.450381679389313, -15.007633587786259, -20.793893129770993, -23.9618320610687, -27.16030534351145, -32.56488549618321], maxlen=10)","deque([0.941650390625, 0.860595703125, 0.816650390625, 0.953857421875, 0.9599609375, 0.966064453125, 0.965087890625, 0.97314453125, 0.9560546875, 0.95361328125], maxlen=10)","deque([0.218505859375, 0.22607421875, 0.360107421875, 0.17041015625, 0.232177734375, 0.179443359375, 0.18310546875, 0.19287109375, 0.19384765625, 0.202392578125], maxlen=10)","deque([0.010986328125, 0.109130859375, 0.123291015625, 0.030029296875, 0.01025390625, 0.0166015625, -0.00634765625, 0.0078125, 0.015625, 0.024658203125], maxlen=10)","deque([-0.29770992366412213, -1.534351145038168, 0.4122137404580153, -1.0, -0.45038167938931295, 0.24427480916030533, 0.22137404580152673, -0.22137404580152673, -0.3893129770992366, -0.6412213740458015], maxlen=10)","deque([-0.0916030534351145, 0.15267175572519084, 0.2366412213740458, -0.3053435114503817, -0.06870229007633588, 0.22137404580152673, 0.4580152671755725, 0.6030534351145038, 0.5038167938931297, 0.17557251908396945], maxlen=10)","deque([0.04580152671755725, -0.2366412213740458, -0.3053435114503817, 0.46564885496183206, 0.3282442748091603, -0.030534351145038167, -0.3053435114503817, -0.3435114503816794, -0.3893129770992366, -0.4961832061068702], maxlen=10)",2
"deque([-0.7255859375, -0.454345703125, -0.469482421875, -0.395263671875, -0.206787109375, -0.104736328125, 0.226806640625, 0.595703125, 0.97705078125, 1.422607421875], maxlen=10)","deque([-1.388916015625, -1.277587890625, -1.248046875, -1.02001953125, -0.595947265625, -0.28076171875, 0.10498046875, 0.2041015625, 0.46484375, 0.6416015625], maxlen=10)","deque([0.669189453125, 0.661865234375, 0.6669921875, 0.52392578125, 0.2919921875, 0.1650390625, 0.000732421875, -0.070556640625, -0.302490234375, -0.294921875], maxlen=10)","deque([-1.8625954198473282, -1.816793893129771, -8.374045801526718, -14.80916030534351, -14.435114503816793, -7.8320610687022905, -6.305343511450381, -1.7328244274809161, -0.4961832061068702, -0.7786259541984732], maxlen=10)","deque([-12.572519083969466, -14.84732824427481, -13.488549618320612, -10.931297709923664, -9.778625954198473, -11.236641221374045, -9.954198473282442, -9.564885496183207, -6.419847328244275, -2.5267175572519083], maxlen=10)","deque([-20.793893129770993, -23.9618320610687, -27.16030534351145, -32.56488549618321, -36.083969465648856, -37.61832061068702, -33.587786259541986, -26.793893129770993, -17.022900763358777, -6.702290076335878], maxlen=10)","deque([0.965087890625, 0.97314453125, 0.9560546875, 0.95361328125, 0.959716796875, 0.951416015625, 0.952392578125, 0.95263671875, 0.965087890625, 0.96484375], maxlen=10)","deque([0.18310546875, 0.19287109375, 0.19384765625, 0.202392578125, 0.208740234375, 0.207763671875, 0.2265625, 0.21728515625, 0.208984375, 0.20263671875], maxlen=10)","deque([-0.00634765625, 0.0078125, 0.015625, 0.024658203125, 0.021484375, 0.0234375, 0.00927734375, 0.00390625, 0.027099609375, 0.0078125], maxlen=10)","deque([0.22137404580152673, -0.22137404580152673, -0.3893129770992366, -0.6412213740458015, -0.6641221374045801, -0.1450381679389313, -0.04580152671755725, -0.1450381679389313, -0.19083969465648856, -0.22900763358778625], maxlen=10)","deque([0.4580152671755725, 0.6030534351145038, 0.5038167938931297, 0.17557251908396945, -0.13740458015267176, -0.2366412213740458, -0.16030534351145037, -0.03816793893129771, 0.21374045801526717, 0.3893129770992366], maxlen=10)","deque([-0.3053435114503817, -0.3435114503816794, -0.3893129770992366, -0.4961832061068702, -0.549618320610687, -0.5877862595419847, -0.3282442748091603, -1.9541984732824427, 0.1450381679389313, 0.09923664122137404], maxlen=10)",2
"deque([0.226806640625, 0.595703125, 0.97705078125, 1.422607421875, 1.47314453125, 1.2919921875, 1.07275390625, 0.843505859375, 0.6376953125, 0.31982421875], maxlen=10)","deque([0.10498046875, 0.2041015625, 0.46484375, 0.6416015625, 0.6181640625, 0.380126953125, 0.180419921875, 0.02392578125, 0.020751953125, -0.029541015625], maxlen=10)","deque([0.000732421875, -0.070556640625, -0.302490234375, -0.294921875, -0.294921875, -0.285888671875, -0.2197265625, -0.1806640625, -0.156982421875, -0.066162109375], maxlen=10)","deque([-6.305343511450381, -1.7328244274809161, -0.4961832061068702, -0.7786259541984732, 2.2595419847328246, 2.7480916030534353, 2.984732824427481, 4.549618320610687, 5.969465648854962, 6.793893129770993], maxlen=10)","deque([-9.954198473282442, -9.564885496183207, -6.419847328244275, -2.5267175572519083, -0.22137404580152673, 2.549618320610687, 5.206106870229007, 7.351145038167939, 9.488549618320612, 11.938931297709924], maxlen=10)","deque([-33.587786259541986, -26.793893129770993, -17.022900763358777, -6.702290076335878, 3.6412213740458017, 11.213740458015268, 15.82442748091603, 23.022900763358777, 28.35114503816794, 32.847328244274806], maxlen=10)","deque([0.952392578125, 0.95263671875, 0.965087890625, 0.96484375, 0.972900390625, 0.96142578125, 0.958740234375, 0.964599609375, 0.968505859375, 0.95947265625], maxlen=10)","deque([0.2265625, 0.21728515625, 0.208984375, 0.20263671875, 0.1923828125, 0.1904296875, 0.20458984375, 0.2021484375, 0.208251953125, 0.209228515625], maxlen=10)","deque([0.00927734375, 0.00390625, 0.027099609375, 0.0078125, 0.0146484375, 0.029541015625, 0.024658203125, 0.023193359375, 0.02734375, 0.024169921875], maxlen=10)","deque([-0.04580152671755725, -0.1450381679389313, -0.19083969465648856, -0.22900763358778625, -0.2595419847328244, -0.2900763358778626, -0.33587786259541985, -0.4198473282442748, -0.4351145038167939, -0.3969465648854962], maxlen=10)","deque([-0.16030534351145037, -0.03816793893129771, 0.21374045801526717, 0.3893129770992366, 0.48854961832061067, 0.45038167938931295, 0.3511450381679389, 0.19083969465648856, 0.007633587786259542, -0.16793893129770993], maxlen=10)","deque([-0.3282442748091603, -1.9541984732824427, 0.1450381679389313, 0.09923664122137404, -0.13740458015267176, -0.3435114503816794, -0.4122137404580153, -0.46564885496183206, -0.5343511450381679, -0.45038167938931295], maxlen=10)",2
"deque([1.07275390625, 0.843505859375, 0.6376953125, 0.31982421875, 0.060302734375, -0.37890625, -0.925537109375, -1.114013671875, 2.0, -0.5185546875], maxlen=10)","deque([0.180419921875, 0.02392578125, 0.020751953125, -0.029541015625, 0.0185546875, -0.084228515625, -0.611328125, -0.6416015625, 2.0, -0.2763671875], maxlen=10)","deque([-0.2197265625, -0.1806640625, -0.156982421875, -0.066162109375, 0.0224609375, 0.318115234375, 0.782958984375, 0.855224609375, 1.99993896484375, 0.364501953125], maxlen=10)","deque([2.984732824427481, 4.549618320610687, 5.969465648854962, 6.793893129770993, 7.702290076335878, 13.274809160305344, 22.732824427480917, 17.49618320610687, 17.35114503816794, -5.877862595419847], maxlen=10)","deque([5.206106870229007, 7.351145038167939, 9.488549618320612, 11.938931297709924, 14.931297709923664, 13.664122137404581, 10.412213740458014, 13.358778625954198, 4.755725190839694, 2.954198473282443], maxlen=10)","deque([15.82442748091603, 23.022900763358777, 28.35114503816794, 32.847328244274806, 37.11450381679389, 40.06106870229008, 39.0763358778626, 33.16793893129771, 20.229007633587788, 2.1526717557251906], maxlen=10)","deque([0.958740234375, 0.964599609375, 0.968505859375, 0.95947265625, 0.95361328125, 0.9541015625, 0.9580078125, 0.92529296875, 0.887451171875, 0.89013671875], maxlen=10)","deque([0.20458984375, 0.2021484375, 0.208251953125, 0.209228515625, 0.22412109375, 0.229736328125, 0.219970703125, 0.234375, 0.28857421875, 0.2138671875], maxlen=10)","deque([0.024658203125, 0.023193359375, 0.02734375, 0.024169921875, 0.024169921875, 0.01025390625, 0.015380859375, 0.0205078125, 0.056884765625, 0.135009765625], maxlen=10)","deque([-0.33587786259541985, -0.4198473282442748, -0.4351145038167939, -0.3969465648854962, -0.3969465648854962, -0.3282442748091603, -0.2748091603053435, -0.33587786259541985, -0.9770992366412213, 1.1068702290076335], maxlen=10)","deque([0.3511450381679389, 0.19083969465648856, 0.007633587786259542, -0.16793893129770993, -0.3053435114503817, -0.35877862595419846, -0.3053435114503817, -0.35877862595419846, -0.6641221374045801, 0.6870229007633588], maxlen=10)","deque([-0.4122137404580153, -0.46564885496183206, -0.5343511450381679, -0.45038167938931295, -0.25190839694656486, -0.06870229007633588, 0.10687022900763359, 0.11450381679389313, -0.17557251908396945, -0.24427480916030533], maxlen=10)",2
"deque([-0.925537109375, -1.114013671875, 2.0, -0.5185546875, -0.457275390625, -0.5478515625, -0.847900390625, -0.81640625, -0.50439453125, -0.397216796875], maxlen=10)","deque([-0.611328125, -0.6416015625, 2.0, -0.2763671875, -1.149658203125, -1.2734375, -1.43603515625, -1.704345703125, -1.22119140625, -0.469482421875], maxlen=10)","deque([0.782958984375, 0.855224609375, 1.99993896484375, 0.364501953125, 0.619384765625, 0.91552734375, 0.9736328125, 1.0625, 0.73974609375, 0.1748046875], maxlen=10)","deque([22.732824427480917, 17.49618320610687, 17.35114503816794, -5.877862595419847, -3.053435114503817, -4.67175572519084, -12.16030534351145, -6.7251908396946565, -11.274809160305344, -16.17557251908397], maxlen=10)","deque([10.412213740458014, 13.358778625954198, 4.755725190839694, 2.954198473282443, -1.2061068702290076, -4.885496183206107, -6.244274809160306, -12.50381679389313, -14.229007633587786, -12.664122137404581], maxlen=10)","deque([39.0763358778626, 33.16793893129771, 20.229007633587788, 2.1526717557251906, -7.061068702290076, -10.526717557251908, -18.389312977099237, -29.389312977099237, -35.786259541984734, -38.083969465648856], maxlen=10)","deque([0.9580078125, 0.92529296875, 0.887451171875, 0.89013671875, 0.98046875, 0.968505859375, 0.958984375, 0.970947265625, 0.959716796875, 0.940185546875], maxlen=10)","deque([0.219970703125, 0.234375, 0.28857421875, 0.2138671875, 0.153076171875, 0.21044921875, 0.203369140625, 0.205322265625, 0.176513671875, 0.227294921875], maxlen=10)","deque([0.015380859375, 0.0205078125, 0.056884765625, 0.135009765625, 0.02001953125, 0.01416015625, 0.01318359375, -0.01220703125, 0.031005859375, 0.0263671875], maxlen=10)","deque([-0.2748091603053435, -0.33587786259541985, -0.9770992366412213, 1.1068702290076335, -0.6793893129770993, -1.9389312977099236, -0.3511450381679389, -0.5801526717557252, -0.0916030534351145, -0.366412213740458], maxlen=10)","deque([-0.3053435114503817, -0.35877862595419846, -0.6641221374045801, 0.6870229007633588, -0.09923664122137404, 0.22137404580152673, 0.35877862595419846, 0.5343511450381679, 0.40458015267175573, -0.1450381679389313], maxlen=10)","deque([0.10687022900763359, 0.11450381679389313, -0.17557251908396945, -0.24427480916030533, 0.16793893129770993, -0.35877862595419846, -0.32061068702290074, -0.4732824427480916, -0.8702290076335878, -0.8091603053435115], maxlen=10)",2
